,Age,Gender,family_history,benefits,care_options,anonymity,leave,work_interfere
0,0.4318181818181818,0,0,2,1,2,2,2
1,0.5909090909090909,1,0,0,0,0,0,3
2,0.3181818181818182,1,0,1,0,0,1,3
3,0.29545454545454547,1,1,1,2,1,1,2
4,0.29545454545454547,1,0,2,0,0,0,1
5,0.34090909090909094,1,1,2,1,0,0,4
6,0.38636363636363635,0,1,1,0,1,1,4
7,0.4772727272727273,1,0,1,2,2,0,1
8,0.5454545454545454,0,1,2,2,1,3,4
9,0.11363636363636365,1,0,0,0,0,0,1
10,0.29545454545454547,1,0,0,0,0,0,4
11,0.25,1,0,0,1,0,0,1
12,0.5454545454545454,0,1,2,2,0,1,4
13,0.4090909090909091,1,1,0,1,0,0,1
14,0.20454545454545456,1,0,0,1,0,2,1
15,0.25,0,1,2,1,0,2,3
16,0.11363636363636365,1,0,0,0,0,4,4
17,0.3181818181818182,1,0,2,2,0,0,4
18,0.6363636363636364,1,1,2,1,2,4,4
19,0.4090909090909091,1,1,1,0,2,2,0
20,0.25,1,1,2,2,1,1,4
21,0.29545454545454547,1,0,1,0,2,1,1
22,0.6363636363636364,1,0,2,2,0,0,2
23,0.5227272727272727,1,0,0,0,0,0,1
24,0.34090909090909094,1,1,2,1,2,0,3
25,0.38636363636363635,1,1,2,2,1,4,4
26,0.34090909090909094,1,0,0,1,0,0,0
27,0.38636363636363635,0,1,2,2,0,0,3
28,0.36363636363636365,1,0,0,1,0,1,4
29,0.4318181818181818,1,0,1,0,0,3,4
30,0.3181818181818182,1,0,1,0,0,0,1
31,0.29545454545454547,1,1,1,2,0,1,3
32,0.2727272727272727,1,1,0,0,2,2,4
33,0.5454545454545454,1,1,2,2,2,4,4
34,0.5,0,0,2,2,0,0,4
35,0.20454545454545456,1,0,1,2,0,4,3
36,0.25,1,0,1,0,0,4,3
37,0.4545454545454546,1,0,1,2,0,2,0
38,0.7272727272727273,1,0,2,2,0,0,0
39,0.38636363636363635,1,0,2,2,2,4,3
40,0.13636363636363635,1,0,1,0,0,0,4
41,0.38636363636363635,1,0,2,1,0,1,0
42,0.20454545454545456,1,1,1,2,2,3,4
43,0.0,1,0,1,1,0,1,2
44,0.2727272727272727,1,0,0,0,0,0,4
45,0.4545454545454546,0,1,2,2,2,2,4
46,0.2272727272727273,1,0,0,1,0,0,0
47,0.36363636363636365,1,0,1,0,0,0,0
48,0.18181818181818182,1,0,1,2,0,0,4
49,0.2727272727272727,1,1,2,0,0,0,3
50,0.09090909090909091,1,1,1,2,2,3,2
51,0.34090909090909094,1,0,0,1,0,0,0
52,0.29545454545454547,1,0,0,0,0,0,0
53,0.3181818181818182,1,0,0,1,0,0,1
54,0.2272727272727273,1,0,1,0,0,0,0
55,0.20454545454545456,1,1,2,2,2,0,3
56,0.3181818181818182,1,1,0,0,0,2,0
57,0.13636363636363635,1,1,0,0,0,0,4
58,0.18181818181818182,1,0,1,0,2,2,0
